currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Bielefeld,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 2.73, 29]","['Potato (1kg) ', 1.48, 49]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.12, 62]","['One-way Ticket (Local Transport) ', 3.1, 25]","['Apartment (3 bedrooms) in City Centre ', 1025.0, 133]",Germany,52.0302285,8.5324708,2,Bielefeld,100
€,Bilbao,"['Meal, Inexpensive Restaurant ', 14.0, 20]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.75, 29]","['Domestic Beer (0.5 liter draught) ', 3.0, 54]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 1.27, 110]","['Potato (1kg) ', 1.28, 63]","['Water (1.5 liter bottle) ', 0.86, 45]","['Cigarettes 20 Pack (Marlboro) ', 5.25, 53]","['Cappuccino (regular) ', 1.76, 108]","['One-way Ticket (Local Transport) ', 1.7, 49]","['Apartment (3 bedrooms) in City Centre ', 1400.0, 85]",Spain,43.2630126,-2.9349852,2,Bilbao,131
€,Birmingham,"['Meal, Inexpensive Restaurant ', 17.8, 12]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.31, 33]","['Domestic Beer (0.5 liter draught) ', 5.93, 18]","['Milk (regular), (1 liter) ', 1.51, 22]","['Rice (white), (1kg) ', 2.11, 70]","['Potato (1kg) ', 1.46, 51]","['Water (1.5 liter bottle) ', 0.99, 35]","['Cigarettes 20 Pack (Marlboro) ', 16.61, 5]","['Cappuccino (regular) ', 3.97, 16]","['One-way Ticket (Local Transport) ', 2.37, 40]","['Apartment (3 bedrooms) in City Centre ', 1994.99, 41]", United Kingdom,52.486243,-1.890401,1,Birmingham,29
€,Bochum,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.3, 28]","['Milk (regular), (1 liter) ', 1.0, 60]","['Rice (white), (1kg) ', 2.79, 23]","['Potato (1kg) ', 1.85, 23]","['Water (1.5 liter bottle) ', 0.84, 47]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.26, 56]","['One-way Ticket (Local Transport) ', 3.05, 26]","['Apartment (3 bedrooms) in City Centre ', 1100.0, 124]",Germany,51.4818445,7.2162363,2,Bochum,83
€,Bologna,"['Meal, Inexpensive Restaurant ', 18.0, 11]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.57, 17]","['Rice (white), (1kg) ', 2.73, 29]","['Potato (1kg) ', 2.28, 10]","['Water (1.5 liter bottle) ', 0.48, 75]","['Cigarettes 20 Pack (Marlboro) ', 6.0, 40]","['Cappuccino (regular) ', 1.6, 116]","['One-way Ticket (Local Transport) ', 1.5, 51]","['Apartment (3 bedrooms) in City Centre ', 1736.24, 61]",Italy,44.494887,11.3426163,2,Bologna,94
€,Bonn,"['Meal, Inexpensive Restaurant ', 14.5, 18]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.5, 35]","['Milk (regular), (1 liter) ', 1.07, 53]","['Rice (white), (1kg) ', 2.69, 32]","['Potato (1kg) ', 1.42, 55]","['Water (1.5 liter bottle) ', 0.93, 39]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.06, 65]","['One-way Ticket (Local Transport) ', 3.2, 21]","['Apartment (3 bedrooms) in City Centre ', 1700.0, 63]",Germany,50.73743,7.0982068,2,Bonn,64
€,Bordeaux,"['Meal, Inexpensive Restaurant ', 16.0, 15]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.5, 13]","['Domestic Beer (0.5 liter draught) ', 7.0, 9]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 2.65, 36]","['Potato (1kg) ', 2.17, 14]","['Water (1.5 liter bottle) ', 0.69, 61]","['Cigarettes 20 Pack (Marlboro) ', 11.0, 18]","['Cappuccino (regular) ', 3.42, 44]","['One-way Ticket (Local Transport) ', 1.8, 47]","['Apartment (3 bedrooms) in City Centre ', 1383.33, 86]", France,44.837789,-0.57918,2,Bordeaux,54
€,Bratislava,"['Meal, Inexpensive Restaurant ', 10.0, 42]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 2.5, 61]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 1.75, 88]","['Potato (1kg) ', 1.51, 46]","['Water (1.5 liter bottle) ', 0.78, 53]","['Cigarettes 20 Pack (Marlboro) ', 5.0, 60]","['Cappuccino (regular) ', 2.61, 84]","['One-way Ticket (Local Transport) ', 1.1, 57]","['Apartment (3 bedrooms) in City Centre ', 1232.69, 109]",Slovakia,48.1485965,17.1077477,3,Bratislava,143
€,Bremen,"['Meal, Inexpensive Restaurant ', 13.5, 22]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.85, 32]","['Milk (regular), (1 liter) ', 1.1, 50]","['Rice (white), (1kg) ', 2.75, 27]","['Potato (1kg) ', 1.5, 47]","['Water (1.5 liter bottle) ', 0.99, 35]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.68, 30]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1266.67, 106]",Germany,53.0792962,8.8016937,2,Bremen,67
€,Brno,"['Meal, Inexpensive Restaurant ', 6.79, 55]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 7.39, 43]","['Domestic Beer (0.5 liter draught) ', 2.0, 66]","['Milk (regular), (1 liter) ', 0.93, 67]","['Rice (white), (1kg) ', 2.02, 74]","['Potato (1kg) ', 1.11, 74]","['Water (1.5 liter bottle) ', 0.57, 71]","['Cigarettes 20 Pack (Marlboro) ', 5.99, 41]","['Cappuccino (regular) ', 2.5, 85]","['One-way Ticket (Local Transport) ', 1.0, 61]","['Apartment (3 bedrooms) in City Centre ', 1070.89, 127]",Czech Republic,49.1950602,16.6068371,3,Brno,153
